,unit_id,depth,cell_type0,cell_type,FR,Diff_spread,Spread,A,W,TPW,PTratio,REP,spread_below,spread_above,W_below,W_above,PL_below,PL_above
704,950923515,-280.0,4.0,1,2.9135793560680208,30.659065906590683,201.72417241724173,89.20032073090664,0.18037803780378037,0.5333033303330333,199.981915174635,0.44176417641764176,85.53255325532552,116.19161916191621,1.3433843384338437,1.146843255754147,-0.4954995499549963,2.686768676867688
705,950923495,-280.0,3.0,1,6.370427071877941,100.70007000700072,254.96749674967498,131.3255473184235,0.16876687668766877,0.4593159315931594,342.078401718862,0.2684068406840685,77.13371337133712,177.83378337833784,-0.11611161116111586,0.8799022759418802,0.5944451588015944,1.727401311559728
706,950923751,-260.0,3.0,1,4.889415237677095,58.55385538553858,172.3852385238524,185.5602301809801,0.18118811881188124,0.5792079207920792,483.19686633269936,0.2991899189918994,56.915691569156905,115.46954695469549,0.30204449016330304,1.1784749903561784,-0.31207406454931147,1.994728044232996
707,950923725,-260.0,5.0,1,3.3391972429995724,46.65866586658669,155.54955495549555,157.3617703181543,0.15013501350135017,0.6286228622862287,517.7624859107727,0.3612961296129614,54.44544454445443,101.10411041104112,-0.15854442587115866,1.0172302944580174,-0.7221293557927222,2.1397711199691405
708,950923667,-260.0,3.0,1,11.571270031700072,77.4037403740374,270.8150815081508,91.32848455348868,0.2027902790279028,0.4987398739873987,160.07705994685594,0.3197119711971199,96.7056705670567,174.1094109410941,-0.1928764305001927,1.4708756589944703,0.7402597402597411,2.4244567313874246
709,950923830,-240.0,4.0,1,1.640186003297199,21.272127212721273,149.39293929392937,162.87309625850372,0.1730873087308732,0.6118811881188119,457.5603378680806,0.3086408640864087,64.06040604060405,85.33253325332532,0.21756461360421855,2.583772662980583,0.26231194548026204,2.905490549054906
710,950923781,-240.0,2.0,0,6.809886190904827,-7.420742074207396,129.44094409440947,156.4051859682562,0.116921692169217,0.22736273627362735,765.7585507111966,0.17443744374437442,68.43084308430844,61.01010101010104,-2.945994599459946,1.0399897132570395,-1.86974411726887,1.825768291114826
711,950923765,-240.0,5.0,1,0.8650770059584385,67.21872187218727,123.58835883588361,189.8627113609856,0.13636363636363635,0.6283528352835284,844.4471429306973,0.3502250225022502,28.18481848184817,95.40354035403544,-0.22720843512922761,1.6710813938536708,-0.9709399511379709,2.101195833869101
712,950925881,-220.0,4.0,1,1.602122615035028,45.44254425442546,143.08430843084307,68.13823457043335,0.19441944194419447,0.6380738073807383,145.35448526082047,0.3340234023402341,48.820882088208805,94.26342634263426,-3.6858685868586862,1.618619004757619,0.2418670438472408,3.805451973768806
713,950923872,-220.0,3.0,1,1.1834253441511438,37.68976897689768,154.02940294029403,86.47508370465943,0.19657965796579668,0.5821782178217824,214.01511737215813,0.3518451845184518,58.169816981698176,95.85958595859586,0.3307830783078319,1.9630963096309628,0.3037803780378029,2.2354378294972364
