,layer_cre,layer,cell_list,true_label,Diff_spread,Spread,W_dist,PL_dist,cre_lines,cell_type,A,W,TPW,Rslope,REP,spread_below,spread_above,W_below,W_above,PL_below,PL_above,label,str_label
0,L4_Scnn1a,L4,395830185,L4,-1.5566556655666093,54.138913891389045,3.5063017596812522,5.664577484965613,Scnn1a,1,55.66770779416806,0.24778811214454755,0.7824049071573826,72.73312728758529,0.5433810047671432,27.847784778477827,26.291129112911214,-3.766437249785584,8.725096752099459,-2.761088230035124,10.772010534386773,3,RS1
1,L4_Scnn1a,L4,476218657,L5 IT,-3.2298229822982885,43.38283828382839,1.0067758485291474,6.8497341124710776,Scnn1a,1,20.229741381603887,0.3792512584591792,0.8413641364136413,10.584700657336704,0.6381938193819385,23.30633063306334,20.076507650765052,-5.380210748347556,3.956414689087956,-17.781929708122327,8.094942827616093,5,RS3
2,L4_Scnn1a,L4,320207387,L5 IT,-0.0030003000300666827,44.93649364936493,4.248945281670406,4.461421812493711,Scnn1a,1,87.43744882684739,0.20396706337300402,0.6366003266993371,170.29201884941304,0.3912024535786909,22.4697469746975,22.466746674667434,-2.704591671288345,8.713507714407806,-7.679186100428224,13.988589335123987,4,RS2
3,L4_Nr5a1,L4,422738880,L4,10.872587258725844,56.05110511051112,1.78000311359136,5.223381382739536,Nr5a1,1,19.90583344594269,0.4023569023569023,0.9584858485848584,8.096292658967794,0.6493482681601495,22.58925892589264,33.46184618461848,-4.040642159454044,6.5579467037612815,-8.629521682326965,16.016498475244347,4,RS2
4,L4_Nr5a1,L4,476457450,L4,-3.5883588358835823,72.18521852185222,1.2615184293888195,0.3492985393080071,Nr5a1,1,60.6779914867201,0.24938160482714955,0.6836083608360837,69.99611980469832,0.4780478047804779,37.88678867886789,34.29842984298432,-1.535547494143355,-0.2485089778819196,-3.5810126467192207,3.0870299151127254,3,RS1
5,L4_Nr5a1,L4,386049446,L4,35.253025302530204,92.86078607860779,5.386982458125528,7.873045668977523,Nr5a1,1,23.84918761138928,0.2868286828682869,0.8628762876287626,27.83910947405609,0.6612994632796614,28.803880388038806,64.05690569056901,1.5210611970287968,6.097282455518278,-4.12569741822667,15.259865380477441,4,RS2
6,L4_Nr5a1,L4,321906005,L4,13.62136213621352,68.36083608360832,0.7067917657552051,6.633599239174919,Nr5a1,1,31.880765517381512,0.28364169750308355,0.9648598193152648,50.04440723960053,0.6031369803647033,27.3697369736974,40.99109910991092,-2.6162252588895263,1.6166707579848876,0.2274348646985908,9.153891146690423,3,RS1
7,L4_Rorb,L4,485931158,L4,49.713971397139645,97.999799979998,3.5185937903900246,5.016977700421172,Rorb,1,22.624185431212943,0.3657065706570659,1.0365669900323369,13.613457709816918,0.6334133413341334,24.142914291429186,73.85688568856881,-7.726990880906262,2.750947822054932,-5.878849789740875,12.97392769579988,4,RS2
8,L4_Rorb,L4,479179020,L5 IT,-3.946894689468991,43.143814381438226,4.12397630279775,6.257594799815084,Rorb,1,23.42617877110889,0.3585358535853582,0.9720305363869721,13.668823689466045,0.6573157315731573,23.545354535453612,19.59845984598462,-3.781889300041117,9.61407251836295,-9.839817315064835,18.68939274879868,4,RS2
9,L5_Rorb,L5,478586295,L6 CT,27.245724572457213,71.70717071707169,0.8430284394442454,6.663012312656659,Rorb,1,49.55701021988221,0.2900156682334898,0.9465346534653464,49.034618993887186,0.5975597559755976,22.230723072307224,49.47644764476446,-7.111323253537477,8.303545506065754,-6.5105558174865115,15.933478196304474,4,RS2
