,good,units,fr_5min,fr,depth
0,1.0,951836739,2.4187560414274976,4.8035602344691,-640.0
1,1.0,951836735,1.4048854832897912,2.89572731690095,-640.0
2,1.0,951836751,1.0657751942198417,1.81732850971387,-620.0
3,1.0,951836741,2.64367613111675,2.77140011891141,-620.0
4,1.0,951836773,1.2041875571055354,2.06339706546853,-600.0
5,1.0,951836764,13.495205381355136,21.2834302854476,-600.0
6,1.0,951836777,3.532975562657332,3.13372805115545,-580.0
7,1.0,951836769,3.6990703981201642,6.17540019032198,-580.0
8,1.0,951836767,4.411894066981487,10.171557673122,-580.0
9,1.0,951836783,3.020849819980265,11.1343177054735,-560.0
10,1.0,951836801,1.0034896309212795,9.1380490522306,-520.0
11,1.0,951836795,2.9239611659602796,3.05522194194243,-520.0
12,1.0,951836820,1.2526318841155282,4.60331276749095,-480.0
13,1.0,951836828,6.138588293980516,6.82092934394317,-460.0
14,1.0,951836842,7.245887197066065,4.6135526947796,-440.0
15,1.0,951836838,1.7889797902975912,10.7993996796082,-440.0
16,1.0,951836848,3.7509750342022996,4.14241260589248,-420.0
17,1.0,951836846,2.20075656988253,2.04229660923736,-420.0
18,1.0,951836856,0.8927597406127245,1.2787497077742,-400.0
19,1.0,951836854,7.0417289618096675,9.03968369009412,-400.0
20,1.0,951836874,2.5986921131788994,5.72205068217878,-380.0
21,1.0,951836864,14.834344992274223,16.3943304563551,-380.0
22,1.0,951836898,5.090114645121386,6.71532362917835,-360.0
23,1.0,951836880,5.252749171512076,14.1084476979785,-360.0
24,1.0,951836878,2.269962751325377,8.20487103204628,-360.0
25,1.0,951836860,6.155889839341228,6.51559333024508,-360.0
26,1.0,951836892,2.03812204349184,4.8878586257848,-340.0
27,1.0,951836886,2.3149467692632273,6.28990119545876,-340.0
28,1.0,951836926,5.771795532333428,6.06596743202504,-320.0
29,1.0,951836912,4.996686300173543,4.36572576767235,-320.0
30,1.0,951836904,2.321867387407512,5.19609078053422,-320.0
31,1.0,951836908,3.0762147651345426,3.90348096915719,-320.0
32,1.0,951836933,7.886044375412399,11.9632346478097,-300.0
33,1.0,951836939,1.9827570983375624,2.52512469593881,-280.0
34,1.0,951836937,7.180141324695361,8.15925681048772,-280.0
35,1.0,951836953,1.4671710465883534,1.11315249980311,-260.0
36,1.0,951837257,0.48790357917207033,1.52761097097121,-260.0
37,1.0,951836943,13.709744543827963,8.23900412300846,-260.0
38,1.0,951836991,0.49828450638849736,0.963484067614385,-200.0
39,1.0,951837005,7.588457795208158,1.75092413275108,-180.0
40,1.0,951837043,3.875546160799424,8.42477088472993,-140.0
41,1.0,951837041,0.44984017937850457,1.54260884427278,-140.0
42,1.0,951837055,0.39793554329636943,0.94341794747298,-120.0
43,1.0,951837066,9.46740562138145,10.9826840347142,-100.0
44,1.0,951837064,1.4256473377226453,10.8100533413328,-100.0
45,1.0,951837135,0.8235535591698776,2.40224556847494,-20.0
46,1.0,951837158,0.8339344863863046,6.05510690308252,20.0
