,good,units,fr_5min,fr,depth
0,1.0,950991694,3.927452039484046,3.83636243531586,-500.0
1,1.0,950991678,3.4983735787827053,3.84780308672519,-500.0
2,1.0,950991864,1.484473061619961,2.52932001476024,-460.0
3,1.0,950992002,32.769137280981425,44.2749049304402,-360.0
4,1.0,950992050,0.6851414130553666,5.1819910528975,-340.0
5,1.0,950992032,4.996687881070451,4.96628277087058,-340.0
6,1.0,950992020,0.5432686962105685,3.62751854413454,-340.0
7,1.0,950992147,0.6124748995494944,0.591689689706444,-300.0
8,1.0,950992096,4.837513613390922,2.77175781871625,-300.0
9,1.0,950992183,12.30486295366103,14.8220919422473,-280.0
10,1.0,950992214,11.467467893260025,14.6073197135175,-260.0
11,1.0,950992202,1.1142198737567073,5.51366593784632,-260.0
12,1.0,950992259,10.138708789152647,10.7188503113282,-240.0
13,1.0,950992247,16.27383871514843,19.7341876278064,-240.0
14,1.0,950992240,6.342748536012561,10.0386515820823,-240.0
15,1.0,950992225,17.765232397102285,17.1646173212697,-240.0
16,1.0,950992220,3.768277771804516,6.53167590143337,-240.0
17,1.0,950992391,5.432686962105684,10.394039817225,-200.0
18,1.0,950992372,21.00062240319707,23.9089853329948,-200.0
19,1.0,950992362,2.733645031887574,3.10228863852414,-200.0
20,1.0,950992352,10.481279495680331,13.70569237654,-200.0
21,1.0,950992334,9.726931879286038,7.46481703274752,-200.0
22,1.0,950992324,4.6991012067130695,8.95667797652485,-200.0
23,1.0,950992416,4.799450201554513,14.4746081571692,-180.0
24,1.0,950992407,12.851591960038544,10.7648209288094,-180.0
25,1.0,950992399,1.9446943138238184,3.74754137801065,-180.0
26,1.0,950992484,1.8754881104848924,5.19790395894867,-160.0
27,1.0,950992474,0.7889507180637555,22.4435418933808,-160.0
28,1.0,950992443,11.18372245957043,24.7346883469831,-160.0
29,1.0,950992381,2.3772330846921053,3.68628189000976,-160.0
30,1.0,950992502,1.813202527479859,2.88294014923061,-140.0
31,1.0,950992493,0.7751094773959702,1.58598630309959,-140.0
32,1.0,950992616,0.6228558300503333,1.98599307873872,-120.0
33,1.0,950992593,9.446646755763387,16.7452654441566,-120.0
34,1.0,950992578,2.256122228848985,3.15096340997477,-120.0
35,1.0,950992688,2.0761861001677775,2.93494311018213,-80.0
36,1.0,950992793,3.003549224909385,17.7103363934949,-80.0
37,1.0,950992847,0.7612682367281851,2.79890336433295,-40.0
38,1.0,950993074,1.1730451465947944,5.42359680947828,60.0
39,1.0,950993600,0.5121259047080517,0.569120404653483,60.0
40,1.0,950993513,0.3598722573624148,0.554143551899444,60.0
