,good,units,fr_5min,fr,depth
0,1.0,950928046,0.4117768937463692,0.65329476851884,-420.0
1,1.0,950927995,2.1038684991411136,5.50609715611896,-420.0
2,1.0,950928177,1.3668224624354273,3.48531249078525,-400.0
3,1.0,950928163,0.6470779758871517,1.98303650844702,-400.0
4,1.0,950928146,7.391222227245754,5.56488361911048,-400.0
5,1.0,950928389,0.41869751380933345,1.43855709351352,-380.0
6,1.0,950928339,1.7093931555521547,5.863849021653,-380.0
7,1.0,950928420,1.8270436966225458,1.7994294733502,-360.0
8,1.0,950928487,16.09044164639174,11.2324422249527,-340.0
9,1.0,950928878,1.8028215264021712,1.7253424241006,-220.0
10,1.0,950928833,1.975837027976276,2.6388478207583,-220.0
11,1.0,950928785,3.626404912993235,4.51488088715054,-220.0
12,1.0,950929025,58.095145118552885,68.0844883341016,-200.0
13,1.0,950928997,6.861794792428993,13.1941384420398,-200.0
14,1.0,950928979,3.4914528217654333,8.54557874863457,-200.0
15,1.0,950928962,1.8166627665280997,8.52705698632217,-200.0
16,1.0,950928945,11.702768526472443,11.1488929710435,-200.0
17,1.0,950928926,14.678635153547045,33.7537979175607,-200.0
18,1.0,950928910,0.5501892950056531,4.85491628438577,-200.0
19,1.0,950929145,2.7993908154690144,8.40515560501612,-160.0
20,1.0,950929128,3.8132616546932683,7.8060168589107,-160.0
21,1.0,950929055,7.498491838221699,7.2385865645901,-160.0
22,1.0,950932115,3.7924997945043755,7.07168938027512,-140.0
23,1.0,950929212,1.0796167298224135,1.93814136718979,-140.0
24,1.0,950929192,5.48459139989912,10.104426635427,-140.0
25,1.0,950929176,4.415355600171153,6.2466656633598,-140.0
26,1.0,950929161,3.5329765421432184,7.32726956783588,-140.0
27,1.0,950929260,5.84792395320474,8.4796453012725,-120.0
28,1.0,950929243,3.4879925117339514,10.3206480780739,-120.0
29,1.0,950929383,2.5364072530763755,2.83594353058263,-100.0
30,1.0,950929367,1.6609488151114054,4.81998665654663,-100.0
31,1.0,950929352,1.9862179580707222,5.39134275918344,-100.0
32,1.0,950929335,8.446616786847793,14.2536033786594,-100.0
33,1.0,950929316,2.9447238367912623,5.87602909360844,-100.0
34,1.0,950929526,3.4257069311672734,4.76522666362301,-80.0
35,1.0,950929510,1.245711611333554,3.7508581917641,-80.0
36,1.0,950929477,3.3807229007580064,4.00251257100865,-80.0
37,1.0,950932179,0.7301254166427219,1.2918929212898,-80.0
38,1.0,950929413,1.1765054107039121,3.17779083934842,-80.0
39,1.0,950929397,5.159322256939803,13.2990279873089,-80.0
40,1.0,950932242,0.6920620062964189,0.668293369521815,-60.0
41,1.0,950932209,1.605583854607692,2.08238965737276,-60.0
42,1.0,950929647,0.7128238664853115,1.75413168508618,-60.0
43,1.0,950929630,5.103957296436089,6.06195134899431,-60.0
44,1.0,950929611,3.038152207641279,2.81560985673967,-60.0
45,1.0,950929557,4.522625211147098,9.75241248973972,-60.0
46,1.0,950929542,7.6334439294495,6.25220205970318,-60.0
47,1.0,950929753,7.460428427875396,6.04967061528717,-40.0
48,1.0,950929679,1.8824086571262595,1.94136254324412,-40.0
49,1.0,950929836,1.0242517693186999,1.79771822357133,-20.0
50,1.0,950929820,5.875606433456596,10.5926361311614,-20.0
51,1.0,950929802,1.0380930094446283,2.04625208851325,-20.0
52,1.0,950932272,1.0415533194761104,1.88901843236126,0.0
53,1.0,950929947,0.7889506871779175,1.43674518198296,0.0
54,1.0,950929908,1.788980286276243,1.81936050018636,0.0
55,1.0,950929870,8.02791927303846,18.2601424197359,0.0
56,1.0,950929851,1.1107595201057523,1.68688963495204,0.0
57,1.0,950932301,1.2872353317113392,1.67289765146604,20.0
58,1.0,950930160,1.0761564197909315,1.91186864999666,20.0
59,1.0,950930144,0.6816810762019726,0.697183292259088,20.0
60,1.0,950932337,1.249171921365036,0.856530845196735,40.0
61,1.0,950930284,5.73373372216583,7.53765262888432,40.0
62,1.0,950930264,4.045102426802568,6.1914023616777,40.0
63,1.0,950930243,11.830799997637282,13.1305202149668,40.0
64,1.0,950930223,0.66091921601308,0.756775049264197,40.0
65,1.0,950932317,1.425647732970623,1.10546735714544,40.0
66,1.0,950930192,0.3771737934315483,0.543271473913124,40.0
67,1.0,950932356,0.3737134834000662,0.607191686241239,60.0
68,1.0,950930420,1.0450136295075925,1.73742183430434,60.0
69,1.0,950930319,0.8650775078705236,1.58743582427459,60.0
70,1.0,950930508,6.619573090225247,11.3782004414112,80.0
71,1.0,950930493,1.5259967238836036,1.92716923625473,80.0
72,1.0,950930456,0.6782207661704905,1.58119479566933,80.0
73,1.0,950930558,0.4948243345019395,2.21969228668859,100.0
74,1.0,950930848,4.515704591084133,7.1139673159882,160.0
75,1.0,950930787,0.36679286333710204,1.06520265646631,160.0
76,1.0,950931001,2.1384715994559342,6.1916036851811,180.0
77,1.0,950932400,0.5986336354464024,0.393587449138469,200.0
78,1.0,950931048,13.422542612119045,8.39871325290746,200.0
79,1.0,950930979,0.840855337650149,5.61390589218732,200.0
80,1.0,950930963,1.5502188941039783,1.5871338390195,200.0
81,1.0,950931123,0.619395495635295,2.46198512302524,220.0
82,1.0,950931067,10.450136295075925,12.0092489628048,220.0
83,1.0,950931402,0.7232047965797578,2.18566861461473,340.0
