,good,units,fr_5min,fr,depth
0,1.0,950929283,6.162454843522063,12.7099449500596,-580.0
1,1.0,950929267,21.265832379722966,14.5848298863922,-580.0
2,1.0,950929433,1.70583393478741,4.24348277211279,-540.0
3,1.0,950929417,7.626081120226068,5.52019984845326,-540.0
4,1.0,950929536,0.8581071314954922,5.30210931559804,-460.0
5,1.0,950929583,9.328454945612286,15.9409082511149,-420.0
6,1.0,950929626,5.598457011127849,10.1755860684937,-400.0
7,1.0,950929641,0.4013726905382141,5.31761434880384,-380.0
8,1.0,950929723,2.588161832091243,5.17205064890468,-360.0
9,1.0,950929775,0.9826710699383863,1.15624704860333,-340.0
10,1.0,950929763,2.114126844128007,7.18076850343461,-340.0
11,1.0,950929833,1.276780369039664,4.80941648412437,-320.0
12,1.0,950929874,4.3908788301120145,5.71442079071535,-300.0
13,1.0,950929846,2.816529052569882,5.8847721423843,-300.0
14,1.0,950929943,3.5327716986165227,4.37445949998281,-280.0
15,1.0,950929932,0.9965115075431523,4.9389651168307,-280.0
16,1.0,950929916,15.899202698474948,10.3096230002859,-280.0
17,1.0,950929889,2.0622252031101347,2.10144203337249,-280.0
18,1.0,950930042,2.8199891619710735,5.93903975860459,-260.0
19,1.0,950930027,7.6122406826213025,11.8301363224281,-260.0
20,1.0,950931566,12.906208066444298,15.3769126682541,-260.0
21,1.0,950931592,4.854533489871676,2.21732175522634,-240.0
22,1.0,950931577,4.992937865919336,7.36356468438716,-240.0
23,1.0,950930110,3.778439466101119,2.14714107861063,-240.0
24,1.0,950930096,4.058708327597631,5.69299936325997,-240.0
25,1.0,950930071,20.957882643016923,28.0573776538632,-240.0
26,1.0,950931606,0.4152131281429801,1.15155473592263,-220.0
27,1.0,950930184,3.9756657019690347,6.18630423551808,-220.0
28,1.0,950930154,0.9895912887407693,4.04059125207115,-220.0
29,1.0,950930303,8.857880067050242,18.5994094051246,-180.0
30,1.0,950930398,13.186476927940811,14.2835018068532,-140.0
31,1.0,950930360,0.6158994734120872,3.30083795727879,-140.0
32,1.0,950930793,3.086417585862819,6.55301867219466,0.0
33,1.0,950930859,5.771462481187424,2.89362682203181,40.0
34,1.0,950930945,2.262911548379242,2.19273811705136,60.0
35,1.0,950931035,7.688363089447515,7.4652654614015,80.0
